id,screen_id,name,format,placement,installation,owner_id,owner,city,address,lat,lon,width_mm,height_mm,width_px,height_px,phys_width_px,phys_height_px,sspProvider,sspTypes,minBid,ots,grp,meta_format,estimated_ots,interpolated_ots,ssp_ots,image_url,image_preview
44623,MSBB18951A1,MSBB18951A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Рязанский проспект   2к2, съезд с ЮВХ, (м. ""Нижегородская"", ТЦ ""Город"")",55.73077636,37.72985356,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",6.3,69.94811866,0.75,BILLBOARD,20.49808122,69.94811866,77,https://images.russoutdoor.ru/panelFotos/244/2431983.jpg,https://images.russoutdoor.ru/panelFotos/244/2431983.jpg
44622,MSBB19345A1,MSBB19345A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Волгоградский проспект вл177/30, после Х с ул. Ташкентская, (светофор)",55.69749324,37.80459616,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",6.84,73.53538372,0.86,BILLBOARD,20.4980152,73.53538372,88,https://images.russoutdoor.ru/panelFotos/245/2442867.jpg,https://images.russoutdoor.ru/panelFotos/245/2442867.jpg
44621,MSBB18741A1,MSBB18741A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Академика Сахарова проспект   9, 150 м до Х с ул. Садовая-Спасская, (светофор)",55.77161028,37.64490147,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",4.86,51.08909187,0.45,BILLBOARD,20.49842828,51.08909187,46,https://images.russoutdoor.ru/panelFotos/244/2431979.jpg,https://images.russoutdoor.ru/panelFotos/244/2431979.jpg
44620,OMBB02608B1,OMBB02608B1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Омск,Космический пр-т / Индустриальная ул.,54.96904493,73.44512433,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",1.92,27.95844714,2.52,BILLBOARD,10.25789002,27.95844714,23,https://images.russoutdoor.ru/panelFotos/238/2371276.jpg,https://images.russoutdoor.ru/panelFotos/238/2371276.jpg
44619,MOBB13408A1,MOBB13408A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Городское поселение Большие Вязёмы,"Можайское шоссе   1, Одинцовский г.о., пгт. Большие Вяземы, (светофор)",55.62968428,37.01036682,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",2.88,32.78633203,7.76,BILLBOARD,9.847105854,32.78633203,37,https://images.russoutdoor.ru/panelFotos/258/2570038.jpg,https://images.russoutdoor.ru/panelFotos/258/2570038.jpg
44618,MSBB18767A1,MSBB18767A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Рублевское шоссе  14к1, р/п, (светофор)",55.73916172,37.43453146,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",5.13,53.27030941,0.49,BILLBOARD,20.49838814,53.27030941,51,https://images.russoutdoor.ru/panelFotos/244/2431980.jpg,https://images.russoutdoor.ru/panelFotos/244/2431980.jpg
44617,MSBB07953A1,MSBB07953A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Мичуринский проспект  54к1 напротив, (светофор)",55.69337094,37.49125515,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",4.68,47.00623216,0.43,BILLBOARD,20.49850342,47.00623216,44,https://images.russoutdoor.ru/panelFotos/245/2442862.jpg,https://images.russoutdoor.ru/panelFotos/245/2442862.jpg
44616,MSBB19663A1,MSBB19663A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Мира проспект 131к1, р/п",55.83132644,37.6518368,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",9.99,104.4081056,1.06,BILLBOARD,20.49744706,104.4081056,109,https://images.russoutdoor.ru/panelFotos/244/2432000.jpg,https://images.russoutdoor.ru/panelFotos/244/2432000.jpg
44615,MSBB15801A1,MSBB15801A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Варшавское шоссе 125с1, р/п, 370 м после Х с ул. Сумская",55.62543977,37.61671543,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",4.23,44.94211658,0.7,BILLBOARD,20.49854141,44.94211658,72,https://images.russoutdoor.ru/panelFotos/244/2431971.jpg,https://images.russoutdoor.ru/panelFotos/244/2431971.jpg
44614,MSBB19679A1,MSBB19679A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Можайское шоссе   2, Х с Рублевским шоссе",55.72339076,37.4481053,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",7.47,86.95647218,0.9,BILLBOARD,20.49776822,86.95647218,92,https://images.russoutdoor.ru/panelFotos/244/2432001.jpg,https://images.russoutdoor.ru/panelFotos/244/2432001.jpg
